"Plot Title:  21145258"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 21145258, SEN S/N: 21145258)","Temp, °C (LGR S/N: 21145258, SEN S/N: 21145258)"
1,07/25/21 10:00:00 AM,87.384,23.773
2,07/25/21 10:30:00 AM,87.371,24.448
3,07/25/21 11:00:00 AM,87.362,25.319
4,07/25/21 11:30:00 AM,87.364,26.195
5,07/25/21 12:00:00 PM,87.361,26.879
6,07/25/21 12:30:00 PM,87.359,28.060
7,07/25/21 01:00:00 PM,87.352,29.053
8,07/25/21 01:30:00 PM,87.303,29.752
9,07/25/21 02:00:00 PM,87.296,30.356
10,07/25/21 02:30:00 PM,87.255,30.963
11,07/25/21 03:00:00 PM,87.205,31.676
12,07/25/21 03:30:00 PM,87.182,32.086
13,07/25/21 04:00:00 PM,87.127,32.600
14,07/25/21 04:30:00 PM,87.036,33.014
15,07/25/21 05:00:00 PM,86.866,32.497
16,07/25/21 05:30:00 PM,86.829,32.807
17,07/25/21 06:00:00 PM,86.795,33.743
18,07/25/21 06:30:00 PM,86.776,34.903
19,07/25/21 07:00:00 PM,86.885,35.756
20,07/25/21 07:30:00 PM,86.948,35.542
21,07/25/21 08:00:00 PM,93.895,31.880
22,07/25/21 08:30:00 PM,93.995,28.655
23,07/25/21 09:00:00 PM,93.964,28.357
24,07/25/21 09:30:00 PM,93.942,28.357
25,07/25/21 10:00:00 PM,93.908,28.357
26,07/25/21 10:30:00 PM,93.908,28.357
27,07/25/21 11:00:00 PM,93.908,28.357
28,07/25/21 11:30:00 PM,93.886,28.357
29,07/26/21 12:00:00 AM,93.852,28.357
30,07/26/21 12:30:00 AM,93.830,28.357
31,07/26/21 01:00:00 AM,93.807,28.357
32,07/26/21 01:30:00 AM,93.796,28.357
33,07/26/21 02:00:00 AM,93.785,28.357
34,07/26/21 02:30:00 AM,93.751,28.357
35,07/26/21 03:00:00 AM,93.754,28.456
36,07/26/21 03:30:00 AM,93.720,28.456
37,07/26/21 04:00:00 AM,93.698,28.456
38,07/26/21 04:30:00 AM,93.698,28.456
39,07/26/21 05:00:00 AM,93.676,28.456
40,07/26/21 05:30:00 AM,93.676,28.456
41,07/26/21 06:00:00 AM,93.631,28.456
42,07/26/21 06:30:00 AM,93.664,28.456
43,07/26/21 07:00:00 AM,93.664,28.456
44,07/26/21 07:30:00 AM,93.662,28.357
45,07/26/21 08:00:00 AM,93.650,28.357
46,07/26/21 08:30:00 AM,93.647,28.258
47,07/26/21 09:00:00 AM,93.678,28.159
48,07/26/21 09:30:00 AM,93.723,28.159
49,07/26/21 10:00:00 AM,93.765,28.060
50,07/26/21 10:30:00 AM,93.799,28.060
51,07/26/21 11:00:00 AM,93.821,28.060
52,07/26/21 11:30:00 AM,93.877,28.060
53,07/26/21 12:00:00 PM,93.911,28.060
54,07/26/21 12:30:00 PM,94.000,28.060
55,07/26/21 01:00:00 PM,94.037,28.159
56,07/26/21 01:30:00 PM,94.082,28.159
57,07/26/21 02:00:00 PM,94.126,28.159
58,07/26/21 02:30:00 PM,94.171,28.159
59,07/26/21 03:00:00 PM,94.202,28.060
60,07/26/21 03:30:00 PM,94.213,28.060
61,07/26/21 04:00:00 PM,94.179,28.060
62,07/26/21 04:30:00 PM,94.179,28.060
63,07/26/21 05:00:00 PM,94.157,28.060
64,07/26/21 05:30:00 PM,94.143,27.961
65,07/26/21 06:00:00 PM,94.121,27.961
66,07/26/21 06:30:00 PM,94.098,27.961
67,07/26/21 07:00:00 PM,94.076,27.961
68,07/26/21 07:30:00 PM,94.053,27.961
69,07/26/21 08:00:00 PM,94.031,27.961
70,07/26/21 08:30:00 PM,94.076,27.961
71,07/26/21 09:00:00 PM,94.053,27.961
72,07/26/21 09:30:00 PM,94.042,27.961
73,07/26/21 10:00:00 PM,93.997,27.961
74,07/26/21 10:30:00 PM,93.989,28.060
75,07/26/21 11:00:00 PM,93.967,28.060
76,07/26/21 11:30:00 PM,93.955,28.060
77,07/27/21 12:00:00 AM,93.922,28.060
78,07/27/21 12:30:00 AM,93.888,28.060
79,07/27/21 01:00:00 AM,93.866,28.060
80,07/27/21 01:30:00 AM,93.824,28.159
81,07/27/21 02:00:00 AM,93.813,28.159
82,07/27/21 02:30:00 AM,93.790,28.159
83,07/27/21 03:00:00 AM,93.813,28.159
84,07/27/21 03:30:00 AM,93.816,28.258
85,07/27/21 04:00:00 AM,93.804,28.258
86,07/27/21 04:30:00 AM,93.816,28.258
87,07/27/21 05:00:00 AM,93.827,28.258
88,07/27/21 05:30:00 AM,93.827,28.258
89,07/27/21 06:00:00 AM,93.818,28.357
90,07/27/21 06:30:00 AM,93.807,28.357
91,07/27/21 07:00:00 AM,93.852,28.357
92,07/27/21 07:30:00 AM,93.841,28.357
93,07/27/21 08:00:00 AM,93.841,28.357
94,07/27/21 08:30:00 AM,93.863,28.357
95,07/27/21 09:00:00 AM,93.874,28.357
96,07/27/21 09:30:00 AM,93.897,28.357
97,07/27/21 10:00:00 AM,93.942,28.357
98,07/27/21 10:30:00 AM,93.953,28.357
99,07/27/21 11:00:00 AM,94.020,28.357
100,07/27/21 11:30:00 AM,94.054,28.357
101,07/27/21 12:00:00 PM,94.121,28.357
102,07/27/21 12:30:00 PM,94.166,28.357
103,07/27/21 01:00:00 PM,94.233,28.357
104,07/27/21 01:30:00 PM,94.253,28.258
105,07/27/21 02:00:00 PM,94.309,28.258
106,07/27/21 02:30:00 PM,94.353,28.258
107,07/27/21 03:00:00 PM,94.376,28.258
108,07/27/21 03:30:00 PM,94.387,28.258
109,07/27/21 04:00:00 PM,94.373,28.159
110,07/27/21 04:30:00 PM,94.384,28.159
111,07/27/21 05:00:00 PM,94.373,28.159
112,07/27/21 05:30:00 PM,94.317,28.159
113,07/27/21 06:00:00 PM,94.250,28.159
114,07/27/21 06:30:00 PM,94.182,28.159
115,07/27/21 07:00:00 PM,94.182,28.159
116,07/27/21 07:30:00 PM,94.126,28.159
