Plot Title: BLM93,,,
#,"Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20214184, SEN S/N: 20214184)","Temp, °C (LGR S/N: 20214184, SEN S/N: 20214184)"
2,11/23/20 2:05:00 PM,114.173,11.916
3,11/23/20 2:30:00 PM,114.168,12.013
4,11/23/20 2:55:00 PM,114.168,12.013
5,11/23/20 3:20:00 PM,114.168,12.013
6,11/23/20 3:45:00 PM,114.179,12.013
7,11/23/20 4:10:00 PM,114.179,12.013
8,11/23/20 4:35:00 PM,114.179,12.013
9,11/23/20 5:00:00 PM,114.179,12.013
10,11/23/20 5:25:00 PM,114.201,12.013
11,11/23/20 5:50:00 PM,114.201,12.013
12,11/23/20 6:15:00 PM,114.212,12.013
13,11/23/20 6:40:00 PM,114.245,12.013
14,11/23/20 7:05:00 PM,114.267,12.013
15,11/23/20 7:30:00 PM,114.288,12.013
16,11/23/20 7:55:00 PM,114.288,12.013
17,11/23/20 8:20:00 PM,114.288,12.013
18,11/23/20 8:45:00 PM,114.299,12.013
19,11/23/20 9:10:00 PM,114.304,11.916
20,11/23/20 9:35:00 PM,114.299,12.013
21,11/23/20 10:00:00 PM,114.293,11.916
22,11/23/20 10:25:00 PM,114.31,12.013
23,11/23/20 10:50:00 PM,114.304,11.916
24,11/23/20 11:15:00 PM,114.299,12.013
25,11/23/20 11:40:00 PM,114.293,11.916
26,11/24/20 12:05:00 AM,114.293,11.916
27,11/24/20 12:30:00 AM,114.304,11.916
28,11/24/20 12:55:00 AM,114.293,11.916
29,11/24/20 1:20:00 AM,114.304,11.916
30,11/24/20 1:45:00 AM,114.304,11.916
31,11/24/20 2:10:00 AM,114.304,11.916
32,11/24/20 2:35:00 AM,114.315,11.916
33,11/24/20 3:00:00 AM,114.326,11.916
34,11/24/20 3:25:00 AM,114.358,11.916
35,11/24/20 3:50:00 AM,114.369,11.916
36,11/24/20 4:15:00 AM,114.38,11.916
37,11/24/20 4:40:00 AM,114.369,11.916
38,11/24/20 5:05:00 AM,114.358,11.916
39,11/24/20 5:30:00 AM,114.369,11.916
40,11/24/20 5:55:00 AM,114.402,11.916
41,11/24/20 6:20:00 AM,114.391,11.916
42,11/24/20 6:45:00 AM,114.38,11.916
43,11/24/20 7:10:00 AM,114.391,11.916
44,11/24/20 7:35:00 AM,114.413,11.916
45,11/24/20 8:00:00 AM,114.413,11.916
46,11/24/20 8:25:00 AM,114.424,11.916
47,11/24/20 8:50:00 AM,114.424,11.916
48,11/24/20 9:15:00 AM,114.446,11.916
49,11/24/20 9:40:00 AM,114.468,11.916
50,11/24/20 10:05:00 AM,114.457,11.916
51,11/24/20 10:30:00 AM,114.457,11.916
52,11/24/20 10:55:00 AM,114.468,11.916
53,11/24/20 11:20:00 AM,114.479,11.916
54,11/24/20 11:45:00 AM,114.49,11.916
55,11/24/20 12:10:00 PM,114.468,11.916
56,11/24/20 12:35:00 PM,114.435,11.916
57,11/24/20 1:00:00 PM,114.413,11.916
58,11/24/20 1:25:00 PM,114.402,11.916
59,11/24/20 1:50:00 PM,114.38,11.916
60,11/24/20 2:15:00 PM,114.363,11.819
61,11/24/20 2:40:00 PM,114.348,11.916
62,11/24/20 3:05:00 PM,114.33,11.819
63,11/24/20 3:30:00 PM,114.308,11.819
64,11/24/20 3:55:00 PM,114.319,11.819
65,11/24/20 4:20:00 PM,114.319,11.819
66,11/24/20 4:45:00 PM,114.319,11.819
67,11/24/20 5:10:00 PM,114.319,11.819
68,11/24/20 5:35:00 PM,114.308,11.819
69,11/24/20 6:00:00 PM,114.308,11.819
70,11/24/20 6:25:00 PM,114.319,11.819
71,11/24/20 6:50:00 PM,114.33,11.819
72,11/24/20 7:15:00 PM,114.33,11.819
73,11/24/20 7:40:00 PM,114.33,11.819
74,11/24/20 8:05:00 PM,114.308,11.819
75,11/24/20 8:30:00 PM,114.308,11.819
76,11/24/20 8:55:00 PM,114.308,11.819
77,11/24/20 9:20:00 PM,114.308,11.819
78,11/24/20 9:45:00 PM,114.297,11.819
79,11/24/20 10:10:00 PM,114.291,11.722
80,11/24/20 10:35:00 PM,114.236,11.722
81,11/24/20 11:00:00 PM,114.269,11.722
82,11/24/20 11:25:00 PM,114.236,11.722
83,11/24/20 11:50:00 PM,114.225,11.722
84,11/25/20 12:15:00 AM,114.225,11.722
85,11/25/20 12:40:00 AM,114.225,11.722
86,11/25/20 1:05:00 AM,114.203,11.722
87,11/25/20 1:30:00 AM,114.225,11.722
88,11/25/20 1:55:00 AM,114.192,11.722
89,11/25/20 2:20:00 AM,114.171,11.722
90,11/25/20 2:45:00 AM,114.149,11.722
91,11/25/20 3:10:00 AM,114.171,11.722
92,11/25/20 3:35:00 AM,114.16,11.722
93,11/25/20 4:00:00 AM,114.149,11.722
94,11/25/20 4:25:00 AM,114.116,11.722
95,11/25/20 4:50:00 AM,114.094,11.722
96,11/25/20 5:15:00 AM,114.083,11.722
97,11/25/20 5:40:00 AM,114.061,11.722
98,11/25/20 6:05:00 AM,114.061,11.722
99,11/25/20 6:30:00 AM,114.05,11.722
100,11/25/20 6:55:00 AM,114.022,11.625
101,11/25/20 7:20:00 AM,114.044,11.625
102,11/25/20 7:45:00 AM,114.022,11.625
103,11/25/20 8:10:00 AM,114.022,11.625
104,11/25/20 8:35:00 AM,114.044,11.625
105,11/25/20 9:00:00 AM,114.033,11.625
106,11/25/20 9:25:00 AM,114.022,11.625
107,11/25/20 9:50:00 AM,114.044,11.625
108,11/25/20 10:15:00 AM,114.066,11.625
109,11/25/20 10:40:00 AM,114.066,11.625
110,11/25/20 11:05:00 AM,114.055,11.625
111,11/25/20 11:30:00 AM,114.066,11.625
112,11/25/20 11:55:00 AM,114.044,11.625
113,11/25/20 12:20:00 PM,114.011,11.625
114,11/25/20 12:45:00 PM,114,11.625
115,11/25/20 1:10:00 PM,113.967,11.625
116,11/25/20 1:35:00 PM,113.967,11.625
117,11/25/20 2:00:00 PM,113.957,11.625
118,11/25/20 2:25:00 PM,113.935,11.625
119,11/25/20 2:50:00 PM,113.924,11.625
120,11/25/20 3:15:00 PM,113.913,11.625
121,11/25/20 3:40:00 PM,113.935,11.625
122,11/25/20 4:05:00 PM,113.946,11.625
123,11/25/20 4:30:00 PM,113.978,11.625
124,11/25/20 4:55:00 PM,113.989,11.625
125,11/25/20 5:20:00 PM,114.044,11.625
126,11/25/20 5:45:00 PM,114.033,11.625
127,11/25/20 6:10:00 PM,114.055,11.625
128,11/25/20 6:35:00 PM,114.066,11.625
129,11/25/20 7:00:00 PM,114.088,11.625
130,11/25/20 7:25:00 PM,114.099,11.625
131,11/25/20 7:50:00 PM,114.12,11.625
132,11/25/20 8:15:00 PM,114.12,11.625
133,11/25/20 8:40:00 PM,114.142,11.625
134,11/25/20 9:05:00 PM,114.142,11.625
135,11/25/20 9:30:00 PM,114.164,11.625
136,11/25/20 9:55:00 PM,114.186,11.625
137,11/25/20 10:20:00 PM,114.208,11.625
138,11/25/20 10:45:00 PM,114.186,11.625
139,11/25/20 11:10:00 PM,114.208,11.625
140,11/25/20 11:35:00 PM,114.197,11.625
141,11/26/20 12:00:00 AM,114.219,11.625
142,11/26/20 12:25:00 AM,114.23,11.625
143,11/26/20 12:50:00 AM,114.23,11.625
144,11/26/20 1:15:00 AM,114.201,11.528
145,11/26/20 1:40:00 AM,114.186,11.625
146,11/26/20 2:05:00 AM,114.219,11.625
147,11/26/20 2:30:00 AM,114.223,11.528
148,11/26/20 2:55:00 AM,114.212,11.528
149,11/26/20 3:20:00 AM,114.234,11.528
150,11/26/20 3:45:00 AM,114.212,11.528
151,11/26/20 4:10:00 AM,114.256,11.528
152,11/26/20 4:35:00 AM,114.245,11.528
153,11/26/20 5:00:00 AM,114.234,11.528
154,11/26/20 5:25:00 AM,114.245,11.528
155,11/26/20 5:50:00 AM,114.245,11.528
156,11/26/20 6:15:00 AM,114.278,11.528
157,11/26/20 6:40:00 AM,114.278,11.528
158,11/26/20 7:05:00 AM,114.278,11.528
159,11/26/20 7:30:00 AM,114.299,11.528
160,11/26/20 7:55:00 AM,114.31,11.528
161,11/26/20 8:20:00 AM,114.31,11.528
162,11/26/20 8:45:00 AM,114.332,11.528
163,11/26/20 9:10:00 AM,114.343,11.528
164,11/26/20 9:35:00 AM,114.365,11.528
165,11/26/20 10:00:00 AM,114.365,11.528
